URL,Mastery,Abstracción,Paralelismo,Pensamiento lógico,Sincronización,Control de flujo,Interactividad con el usuario,Representación de la información,Código repetido,Nombres por defecto,Código muerto,Inicialización atributos
http://scratch.mit.edu/projects/19311506/,17,2,3,3,2,3,3,1,2,1,8,3
http://scratch.mit.edu/projects/18910631,19,2,3,3,3,3,3,2,5,2,1,7
http://scratch.mit.edu/projects/18912445/,14,2,1,3,3,2,1,2,0,0,0,1
http://scratch.mit.edu/projects/19311795/,14,3,2,1,1,3,2,2,1,3,2,5
http://scratch.mit.edu/projects/18867216/,Error analizando el proyecto
http://scratch.mit.edu/projects/19019864/,14,2,3,0,3,3,1,2,0,1,0,1
http://scratch.mit.edu/projects/17836624/,6,0,1,0,1,2,1,1,0,0,0,0
http://scratch.mit.edu/projects/17891342,20,3,3,3,3,3,2,3,0,0,4,6
http://scratch.mit.edu/projects/18989636/,20,3,3,3,3,3,2,3,8,30,13,16
http://scratch.mit.edu/projects/19336711/,8,2,1,0,1,2,1,1,0,2,0,7
http://scratch.mit.edu/projects/19258090/,15,2,1,3,3,2,2,2,6,2,0,3
http://scratch.mit.edu/projects/19007802/,8,2,1,0,1,2,1,1,1,3,1,1
http://scratch.mit.edu/projects/19258778/,16,2,2,3,3,2,2,2,1,0,1,10
http://scratch.mit.edu/projects/19305125/,14,2,1,3,1,3,2,2,0,3,0,0
http://scratch.mit.edu/projects/19190658/,16,2,3,3,2,2,2,2,0,2,0,2
http://scratch.mit.edu/projects/19187699/,9,2,1,0,1,2,2,1,0,0,0,5
http://scratch.mit.edu/projects/19339590/,15,2,1,3,2,3,2,2,1,6,5,3
http://scratch.mit.edu/projects/18644821/,19,3,3,3,3,3,2,2,4,17,15,18
http://scratch.mit.edu/projects/19338646/,7,2,1,0,1,1,1,1,0,1,0,0
http://scratch.mit.edu/projects/19340332/,15,2,1,3,2,3,2,2,1,3,0,1
http://scratch.mit.edu/projects/18910047/,18,2,3,3,3,3,2,2,7,3,1,9
http://scratch.mit.edu/projects/19249893/,15,2,2,3,2,2,2,2,0,40,0,2
http://scratch.mit.edu/projects/19338499/,18,3,3,3,3,2,1,3,0,0,2,3
http://scratch.mit.edu/projects/19314436/,16,2,3,3,2,3,1,2,2,5,0,8
http://scratch.mit.edu/projects/19334574/,16,2,3,3,2,2,2,2,1,4,0,4
http://scratch.mit.edu/projects/19337128/,7,2,1,0,1,1,1,1,0,3,0,0
http://scratch.mit.edu/projects/19338650/,18,2,3,3,3,3,2,2,3,10,5,13
http://scratch.mit.edu/projects/19294272/,Error analizando el proyecto
http://scratch.mit.edu/projects/19340186/,9,2,1,0,1,2,2,1,0,2,0,1
http://scratch.mit.edu/projects/19301356/,18,2,3,3,3,3,2,2,1,4,0,3
http://scratch.mit.edu/projects/19310234/,20,3,3,3,3,3,2,3,0,1,1,2
http://scratch.mit.edu/projects/17385826/,14,2,3,1,2,2,2,2,1,5,0,4
http://scratch.mit.edu/projects/19167020/,18,2,3,3,3,3,2,2,0,2,1,4
http://scratch.mit.edu/projects/19337458/,8,2,1,0,1,2,1,1,0,1,0,1
http://scratch.mit.edu/projects/18654954/,13,2,3,1,2,2,2,1,1,3,0,3
http://scratch.mit.edu/projects/17896139/,18,2,3,3,3,3,2,2,3,13,11,11
http://scratch.mit.edu/projects/19254361/,12,2,3,0,3,2,1,1,0,1,0,1
http://scratch.mit.edu/projects/18853546/,18,2,3,3,3,3,2,2,4,0,0,12
http://scratch.mit.edu/projects/19334872/,11,2,1,1,2,2,2,1,1,4,0,2
http://scratch.mit.edu/projects/19260007/,20,3,3,3,3,3,2,3,1,2,11,12
http://scratch.mit.edu/projects/18910250/,10,2,1,1,1,2,2,1,0,2,0,1
http://scratch.mit.edu/projects/19190301/,18,2,3,3,3,3,2,2,0,0,0,10
http://scratch.mit.edu/projects/19339814/,14,2,2,3,1,2,2,2,1,3,0,2
http://scratch.mit.edu/projects/19305204/,8,2,1,0,1,2,1,1,0,0,1,3
http://scratch.mit.edu/projects/19306837/,14,2,3,1,2,2,2,2,1,0,2,0
http://scratch.mit.edu/projects/19297366/,18,3,3,3,3,2,2,2,7,0,13,17
http://scratch.mit.edu/projects/19193159/,12,2,3,0,3,1,2,1,0,5,0,0
http://scratch.mit.edu/projects/16463914/,15,2,1,3,2,3,2,2,4,11,1,4
http://scratch.mit.edu/projects/19309311,17,2,3,3,2,3,2,2,1,0,0,5
http://scratch.mit.edu/projects/18854848/,18,3,1,3,3,3,2,3,1,10,2,7
http://scratch.mit.edu/projects/19133462/,7,2,1,0,1,2,1,0,0,6,0,0
http://scratch.mit.edu/projects/17384789/,12,2,1,1,2,2,2,2,2,1,0,4
http://scratch.mit.edu/projects/18991205/,11,3,1,1,0,2,2,2,0,2,3,2
